"No.","Time","Source","Destination","Protocol","Length","Info"
"339","6.208365000","10.0.0.2","10.0.0.1","TCP","66","34502 > irdmi [ACK] Seq=602 Ack=30 Win=29696 Len=0 TSval=277583 TSecr=277557"
"340","6.209282000","10.0.0.2","10.0.0.1","TCP","66","34502 > irdmi [FIN, ACK] Seq=602 Ack=346 Win=30720 Len=0 TSval=277583 TSecr=277557"
"341","6.212001000","10.0.0.2","10.0.0.1","TCP","74","34504 > irdmi [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=277583 TSecr=0 WS=512"
"342","6.259347000","10.0.0.1","10.0.0.2","TCP","66","irdmi > 34502 [ACK] Seq=346 Ack=603 Win=32256 Len=0 TSval=277608 TSecr=277583"
"343","6.262072000","10.0.0.1","10.0.0.2","TCP","74","irdmi > 34504 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=277609 TSecr=277583 WS=512"
"344","6.415111000","10.0.0.2","10.0.0.1","TCP","66","34504 > irdmi [ACK] Seq=1 Ack=1 Win=29696 Len=0 TSval=277634 TSecr=277609"
"345","6.415113000","10.0.0.2","10.0.0.1","HTTP","677","GET /Course%20Outlines%20-%20Electrical%20and%20Computer%20Engineering%20-%20Faculty%20of%20Engineering%20-%20Western%20University_files/jquery.flexslider.js.download HTTP/1.1 "
"346","6.465260000","10.0.0.1","10.0.0.2","TCP","66","irdmi > 34504 [ACK] Seq=1 Ack=612 Win=32256 Len=0 TSval=277660 TSecr=277634"
"347","6.466200000","10.0.0.1","10.0.0.2","TCP","95","[TCP segment of a reassembled PDU]"
"348","6.466573000","10.0.0.1","10.0.0.2","HTTP","381","HTTP/1.0 404 File not found  (text/html)"
"349","6.617215000","10.0.0.2","10.0.0.1","TCP","66","34504 > irdmi [ACK] Seq=612 Ack=30 Win=29696 Len=0 TSval=277685 TSecr=277660"
"350","6.618469000","10.0.0.2","10.0.0.1","TCP","66","34504 > irdmi [FIN, ACK] Seq=612 Ack=346 Win=32256 Len=0 TSval=277685 TSecr=277660"
"351","6.621880000","10.0.0.2","10.0.0.1","TCP","74","34506 > irdmi [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=277686 TSecr=0 WS=512"
"352","6.668508000","10.0.0.1","10.0.0.2","TCP","66","irdmi > 34504 [ACK] Seq=346 Ack=613 Win=32256 Len=0 TSval=277710 TSecr=277685"
"353","6.671943000","10.0.0.1","10.0.0.2","TCP","74","irdmi > 34506 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=277711 TSecr=277686 WS=512"
"354","6.822966000","10.0.0.2","10.0.0.1","TCP","66","34506 > irdmi [ACK] Seq=1 Ack=1 Win=29696 Len=0 TSval=277737 TSecr=277711"
"355","6.823363000","10.0.0.2","10.0.0.1","HTTP","673","GET /Course%20Outlines%20-%20Electrical%20and%20Computer%20Engineering%20-%20Faculty%20of%20Engineering%20-%20Western%20University_files/jquery.client.js.download HTTP/1.1 "
"356","6.873442000","10.0.0.1","10.0.0.2","TCP","66","irdmi > 34506 [ACK] Seq=1 Ack=608 Win=32256 Len=0 TSval=277762 TSecr=277737"
"357","6.874231000","10.0.0.1","10.0.0.2","TCP","95","[TCP segment of a reassembled PDU]"
"358","6.874325000","10.0.0.1","10.0.0.2","HTTP","381","HTTP/1.0 404 File not found  (text/html)"
"359","7.025336000","10.0.0.2","10.0.0.1","TCP","66","34506 > irdmi [ACK] Seq=608 Ack=30 Win=29696 Len=0 TSval=277787 TSecr=277762"
"360","7.026193000","10.0.0.2","10.0.0.1","TCP","66","34506 > irdmi [FIN, ACK] Seq=608 Ack=346 Win=32256 Len=0 TSval=277787 TSecr=277762"
"361","7.029252000","10.0.0.2","10.0.0.1","TCP","74","34508 > irdmi [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=277788 TSecr=0 WS=512"
"362","7.076262000","10.0.0.1","10.0.0.2","TCP","66","irdmi > 34506 [ACK] Seq=346 Ack=609 Win=32256 Len=0 TSval=277812 TSecr=277787"
"363","7.079343000","10.0.0.1","10.0.0.2","TCP","74","irdmi > 34508 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=277813 TSecr=277788 WS=512"
"364","7.231070000","10.0.0.2","10.0.0.1","TCP","66","34508 > irdmi [ACK] Seq=1 Ack=1 Win=29696 Len=0 TSval=277838 TSecr=277813"
"365","7.231072000","10.0.0.2","10.0.0.1","HTTP","687","GET /Course%20Outlines%20-%20Electrical%20and%20Computer%20Engineering%20-%20Faculty%20of%20Engineering%20-%20Western%20University_files/jquery.hoverIntent.minified.js.download HTTP/1.1 "
"366","7.281276000","10.0.0.1","10.0.0.2","TCP","66","irdmi > 34508 [ACK] Seq=1 Ack=622 Win=32256 Len=0 TSval=277864 TSecr=277838"
"367","7.282781000","10.0.0.1","10.0.0.2","TCP","95","[TCP segment of a reassembled PDU]"
"368","7.282795000","10.0.0.1","10.0.0.2","HTTP","381","HTTP/1.0 404 File not found  (text/html)"
